,precision,recall,f1-score,support
Insufficient_Weight,1.0,0.9811320754716981,0.9904761904761905,53.0
Normal_Weight,0.9661016949152542,1.0,0.9827586206896551,57.0
Overweight_Level_I,0.9807692307692307,0.9272727272727272,0.9532710280373832,55.0
Overweight_Level_II,0.95,0.9827586206896551,0.9661016949152542,58.0
Obesity_Type_I,0.9859154929577465,1.0,0.9929078014184397,70.0
Obesity_Type_II,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
Obesity_Type_III,0.9846153846153847,0.9846153846153847,0.9846153846153847,65.0
accuracy,0.9784688995215312,0.9784688995215312,0.9784688995215312,0.9784688995215312
macro avg,0.9786360929593204,0.9774922106737333,0.9778458051598135,418.0
weighted avg,0.9787254537248256,0.9784688995215312,0.9783904913372327,418.0
